// Converted from IBM/Eloquence SPR-style dictionary. Review before installing.
// Format: word<TAB>[[eSpeak phonemes]]
divalent	[[,daI'veIl@nt]]	// Eloquence: .2dY.1ve.0lXnt
rhinoplastic	[[,raInoU'plast@k]]	// Eloquence: .2rY.0no.1plA.0stXk
cyberattack	[['saIb3:@,tak]]	// Eloquence: .1sY.0bR.0x.2tAk
diphthongize	[['dIf,TO:N,aIz]]	// Eloquence: .1dIf.2TcG.2Yz
stromata	[['stroUm@t@]]	// Eloquence: .1stro.0mx.0Fx
hemiacetal	[[,hEmi:'as@,tal]]	// Eloquence: .2hE.0mi.1A.0sX.2tAl
amoebiasis	[[,am@'baI@s@s]]	// Eloquence: .2A.0mX.1bY.0x.0sXs
agitprop	[['adZ@t,prA:p]]	// Eloquence: .1A.0JXt.2prap
studhorse	[['stVd,hO:rs]]	// Eloquence: .1stHd.2hcrs
remunerator	[[r@'mju:n@,reIt3:]]	// Eloquence: .0rX.1myu.0nx.2re.0FR
remunerators	[[r@'mju:n@,reIt3:z]]	// Eloquence: .0rX.1myu.0nx.2re.0FRz
antipyresis	[[,anti:,paI'ri:s@s]]	// Eloquence: .2An.0ti.2pY.1ri.0sXs
storeowner	[['stO:r,oUn3:]]	// Eloquence: .1stcr.2o.0nR
kinesthesis	[[,kIn@s'Ti:s@s]]	// Eloquence: .2kI.0nXs.1Ti.0sXs
montevideo	[[,mA:nt@v@'deIoU]]	// Eloquence: .2man.0tX.0vX.1de.0o
mediocritization	[[,mi:di:Vkr@t@'zeIS@n]]	// Eloquence: .2mi.0di.0H.0krX.0FX.1ze.0SXn
restiform	[['rEst@,fO:rm]]	// Eloquence: .1rE.0stX.2fcrm
noclobber	[['noU,klA:b3:]]	// Eloquence: .1no.2kla.0bR
disrobe	[[,dIs'roUb]]	// Eloquence: .2dIs.1rob
protégée	[['proUt@,ZeI]]	// Eloquence: .1pro.0Fx.2Ze
filose	[['faIloUs]]	// Eloquence: .1fY.0los
aviatrices	[[,eIvi:'eItr@,si:z]]	// Eloquence: .2e.0vi.1e.0trX.2siz
egypt	[['i:dZ@pt]]	// Eloquence: .1i.0JXpt
egyptology	[[,i:dZ@p'tA:l@dZi:]]	// Eloquence: .2i.0JXp.1tal.0x.0Ji
egyptologist	[[,i:dZ@p'tA:l@dZ@st]]	// Eloquence: .2i.0JXp.1tal.0x.0JXst
symposium	[[s@m'poUzi:@m]]	// Eloquence: .0sXm.1po.0zi.0xm
sympodial	[[s@m'poUti:@l]]	// Eloquence: .0sXm.1po.0Fi.0xl
sympodially	[[s@m'poUti:@li:]]	// Eloquence: .0sXm.1po.0Fi.0x.0li
gymnasia	[[dZ@m'neIZ@]]	// Eloquence: .0JXm.1ne.0Zx
gymnastic	[[dZ@m'nast@k]]	// Eloquence: .0JXm.1nA.0stXk
gymnasium	[[dZ@m'neIzi:@m]]	// Eloquence: .0JXm.1ne.0zi.0xm
gymnasticize	[[dZ@m'nast@,saIz]]	// Eloquence: .0JXm.1nA.0stX.2sYz
sinfonietta	[[,sInf@ni:'Et@]]	// Eloquence: .2sIn.0fx.0ni.1E.0Fx
scalenus	[[,skeI'li:n@s]]	// Eloquence: .2ske.1li.0nxs
schematization	[[,ski:m@t@'zeIS@n]]	// Eloquence: .2ski.0mx.0FX.1ze.0SXn
synostosis	[[,sInA:'stoUs@s]]	// Eloquence: .2sI.0na.1sto.0sXs
synostoses	[[,sInA:'stoUsi:z]]	// Eloquence: .2sI.0na.1sto.0siz
biocoenosis	[[,baIoUs@'noUs@s]]	// Eloquence: .2bY.0o.0sX.1no.0sXs
spermathecae	[[,sp3:m@'Ti:ki:]]	// Eloquence: .2spR.0mx.1Ti.0ki
cablet	[['keIbl@t]]	// Eloquence: .1ke.0blXt
alleycity	[['ali:,sIti:]]	// Eloquence: .1A.0li.2sI.0Fi
opéra	[['A:pr@]]	// Eloquence: .1a.0prx
macintoshes	[['mak@n,tA:S@z]]	// Eloquence: .1mAk.0Xn.2ta.0SXz
spermathecal	[[,sp3:m@'Ti:k@l]]	// Eloquence: .2spR.0mx.1Ti.0kxl
doublet	[['dVbl@t]]	// Eloquence: .1dHb.0lXt
calorimetry	[[,kal@'rIm@tri:]]	// Eloquence: .2kA.0lx.1rI.0mX.0tri
prickletac	[['prIk@l,tak]]	// Eloquence: .1prI.0kxl.2tAk
upheave	[[,Vp'hi:v]]	// Eloquence: .2Hp.1hiv
stelliform	[['stEl@,fO:rm]]	// Eloquence: .1stE.0lX.2fcrm
sexagenarian	[[,sEks@dZ@'neIri:@n]]	// Eloquence: .2sEk.0sx.0JX.1ner.0i.0Xn
outfall	[['aUt,fO:l]]	// Eloquence: .1Wt.2fcl
alcaeus	[[al'si:@s]]	// Eloquence: .0Al.1si.0xs
seclusive	[[s@'klu:s@v]]	// Eloquence: .0sX.1klu.0sXv
myelofibrosis	[[,maI@loUfaI'broUs@s]]	// Eloquence: .2mY.0x.0lo.0fY.1bro.0sXs
myelofibroses	[[,maI@loUfaI'broUsi:z]]	// Eloquence: .2mY.0x.0lo.0fY.1bro.0siz
primordium	[[,praI'mO:rti:@m]]	// Eloquence: .2prY.1mcr.0Fi.0xm
chemotroph	[['ki:m@,trA:f]]	// Eloquence: .1ki.0mx.2traf
chemotrophs	[['ki:m@,trA:fs]]	// Eloquence: .1ki.0mx.2trafs
nighttable	[['naIt,teIb@l]]	// Eloquence: .1nYt.2te.0bxl
phenazine	[['fEn@,zi:n]]	// Eloquence: .1fE.0nx.2zin
scolices	[['skoUl@,si:z]]	// Eloquence: .1sko.0lX.2siz
corepressor	[[,koUr@'prEs3:]]	// Eloquence: .2ko.0rX.1prE.0sR
exarchy	[['Ek,sA:rki:]]	// Eloquence: .1Ek.2sar.0ki
unipole	[['ju:n@,poUl]]	// Eloquence: .1yu.0nX.2pol
oscilloscope	[[@'sIl@,skoUp]]	// Eloquence: .0x.1sI.0lx.2skop
